Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 1,5/18/2024,2,0,100,0,3,0,0,5,142,1.1,147,1.3,0:54,54,156,2.4,0,2557,4.8
MCAT Study 2,5/19/2024,0,0,0,0,0,0,0,4,0,1,4,0.8,0:19,19,3,0,0,34,8.8
MCAT Study 3,5/19/2024,0,0,0,0,0,0,0,7,33,1.1,40,1.8,1:16,76,28,0.6,0,619,3.4
MCAT Study 4,5/19/2024,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0
MCAT Study 5,5/20/2024,0,0,0,0,0,0,0,4,0,1,4,3.7,2:40,160,4,0.2,0,59,5.1
MCAT Study 6,5/20/2024,0,0,0,0,0,0,1,19,68,1.1,87,1.3,1:33,93,24,0.6,1,197,9.1
MCAT Study 7,5/20/2024,5,0,100,0,4,0,1,10,90,1.2,100,1.5,0:52,52,114,1.7,1,1800,4.4
MCAT Study 8,5/21/2024,0,0,0,0,0,0,1,3,36,1.1,39,1.6,1:08,68,40,0.8,1,622,5.8
MCAT Study 9,5/21/2024,0,0,0,0,0,0,0,6,2,1,8,3.7,0:44,44,4,0,0,115,2.6
MCAT Study 10,5/21/2024,2,0,100,0,1,0,4,12,31,1.2,43,2,1:33,93,39,1,4,457,6.8
MCAT Study 11,5/21/2024,3,0,100,0,2,0,0,24,56,1.1,80,1.5,1:38,98,58,1.6,0,550,8.4
MCAT Study 12,5/22/2024,0,0,0,0,0,0,0,3,0,1,3,2.1,2:23,143,3,0.1,0,84,3.6
MCAT Study 13,5/22/2024,0,0,0,0,0,0,0,5,0,1.2,5,0.9,0:29,29,6,0,0,90,3.3
MCAT Study 14,5/22/2024,0,0,0,0,0,0,0,2,1,1,3,0.6,0:30,30,3,0,0,97,3.1
MCAT Study 15,5/23/2024,0,0,0,0,0,0,0,3,0,1,3,1.6,0:54,54,3,0,0,141,2.1
MCAT Study 16,5/23/2024,0,0,0,0,0,0,0,12,0,1.1,12,1.2,0:21,21,12,0.1,0,138,6.5
MCAT Study 17,5/23/2024,0,0,0,0,0,0,1,10,4,1.1,14,0.8,0:25,25,14,0.1,1,119,7.6
MCAT Study 18,5/23/2024,3,0,0,0,0,0,0,18,5,1.3,23,1.1,0:41,41,24,0.3,0,99,17.2
MCAT Study 19,5/24/2024,1,0,100,0,1,0,0,10,1,1.5,11,1.5,1:22,82,14,0.3,0,89,14.6
MCAT Study 20,5/24/2024,1,0,0,0,0,0,0,7,1,1.4,8,10.6,9:14,554,10,1.5,0,73,12.3
MCAT Study 21,5/25/2024,0,0,0,0,0,0,0,2,0,1,2,51.5,28:33.,1713,2,1,0,78,2.6
MCAT Study 22,5/25/2024,1,1,0,0,0,0,3,23,136,1.1,159,1.4,0:15,15,7,0,3,147,1.4
MCAT Study 23,5/25/2024,1,3,100,0,1,0,0,21,43,1.2,64,0.9,0:42,42,24,0.3,0,202,8.4
MCAT Study 24,5/25/2024,1,1,100,0,1,0,0,10,39,1.1,49,1.1,1:25,85,20,0.5,0,234,4.7
MCAT Study 25,5/25/2024,0,0,100,0,1,0,0,16,3,1.1,19,1.3,1:35,95,21,0.6,0,211,5.7
MCAT Study 26,5/26/2024,0,0,100,0,2,0,2,11,1,1,12,9.4,8:35,515,13,1.9,2,192,5.7
MCAT Study 27,5/26/2024,0,0,100,0,1,0,0,25,30,1.1,55,0.9,0:53,53,56,0.8,0,836,5.1
MCAT Study 28,5/26/2024,0,0,0,0,0,0,0,10,12,1,22,1,0:37,37,21,0.2,0,591,3.1
MCAT Study 29,5/26/2024,4,0,100,0,3,0,2,28,42,1.1,70,1.7,1:13,73,55,1.1,2,1052,3.9
MCAT Study 30,5/26/2024,0,0,0,0,0,0,0,7,2,1.2,9,0.9,0:32,32,11,0.1,0,218,3.7
MCAT Study 31,5/26/2024,0,0,0,0,0,0,0,6,3,1.1,9,1.5,0:48,48,10,0.1,0,214,3.7
MCAT Study 32,5/27/2024,0,0,0,0,0,0,0,9,2,1.1,11,1.2,0:48,48,12,0.2,0,388,2.8
MCAT Study 33,5/27/2024,3,0,100,0,2,1,0,29,66,1.1,95,2.1,2:08,128,41,1.5,-1,748,4.8
MCAT Study 34,5/27/2024,2,0,0,0,0,0,0,24,68,1.1,92,2.2,1:04,64,8,0.1,0,132,3.8
MCAT Study 35,5/27/2024,0,0,0,0,0,0,0,28,32,1.1,60,1,1:08,68,37,0.7,0,481,6.9
MCAT Study 36,5/29/2024,0,0,0,0,0,0,0,6,0,1.2,6,2.6,1:45,105,7,0.2,0,1444,4.2
MCAT Study 37,5/29/2024,0,0,100,0,1,0,0,4,0,1,4,3.1,1:55,115,4,0.1,0,115,3.5
MCAT Study 38,5/29/2024,1,0,0,0,0,0,0,11,2,1.2,13,0.7,0:15,15,9,0,0,107,8.4
MCAT Study 39,5/29/2024,1,0,0,0,0,0,0,11,0,1.2,11,1.9,2:23,143,9,0.4,0,126,4
MCAT Study 40,5/29/2024,0,0,0,0,0,0,0,14,2,1,16,2.2,1:09,69,14,0.3,0,143,7
MCAT Study 41,5/29/2024,1,0,100,0,1,0,0,39,2,1.1,41,5.3,2:20,140,38,1.5,0,169,15.4
MCAT Study 42,5/30/2024,1,0,100,0,1,0,0,10,1,1,11,3.9,3:57,237,11,0.7,0,116,6
MCAT Study 43,5/30/2024,1,0,0,0,0,0,0,7,1,1,8,1.4,1:40,100,7,0.2,0,151,4.6
MCAT Study 44,5/30/2024,0,0,100,0,1,0,0,12,2,1,14,5.8,1:49,109,13,0.4,0,178,6.7
MCAT Study 45,5/30/2024,1,0,100,0,2,0,0,27,3,1.1,30,3.7,1:33,93,29,0.8,0,189,13.2
MCAT Study 46,5/31/2024,0,0,100,0,2,0,0,15,2,1.1,17,1.7,1:25,85,17,0.4,0,211,6.2
MCAT Study 47,5/31/2024,0,0,0,0,0,0,0,10,0,1.2,10,0.5,0:16,16,9,0,0,184,3.8
MCAT Study 48,5/31/2024,2,0,100,0,1,0,0,23,2,1.2,25,0.8,0:55,55,28,0.4,0,214,10.3
MCAT Study 49,5/31/2024,5,0,100,0,5,0,5,64,14,1.3,78,2.1,2:23,143,80,3.2,5,298,20.5
MCAT Study 50,6/1/2024,1,0,100,1,0,0,0,38,2,1.2,40,3,2:04,124,43,1.5,0,399,8.5
MCAT Study 51,6/1/2024,1,0,100,0,1,0,1,58,2,1.2,60,3.3,2:32,152,58,2.5,1,370,12.7
MCAT Study 52,6/2/2024,2,1,100,0,6,0,2,62,159,1.1,221,2.2,1:42,102,98,2.8,2,1095,7.1
MCAT Study 53,6/2/2024,3,0,100,0,3,0,1,70,14,1.3,84,3.8,2:25,145,86,3.5,1,1023,5.6
MCAT Study 54,6/2/2024,4,0,100,0,6,0,2,105,70,1.1,175,5.6,1:32,92,161,4.2,2,2782,4.1
MCAT Study 55,6/4/2024,15,0,91.7,2,22,0,9,182,68,1.4,250,1.5,2:17,137,316,12.1,9,4608,4.8
MCAT Study 56,6/4/2024,4,0,100,0,7,0,1,116,31,1.1,147,2.7,3:13,193,143,7.7,1,2353,4.1
