Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 1,5/18/2024,2,0,100,0,3,0,0,23,238,1.1111,261,1.31,0:00:54,54,290,4.4001,0,4429,5.08
MCAT Study 2,5/19/2024,0,0,100,0,2,0,0,31,73,1.0865,104,1.49,0:00:59,59,113,1.8676,0,2270,3.7
MCAT Study 3,5/19/2024,0,0,100,0,1,0,2,20,101,1.0744,121,1.51,0:00:54,54,130,1.9559,2,3999,2.35
MCAT Study 4,5/19/2024,0,0,0,0,0,0,0,12,0,1,12,0.7,0:00:28,28,12,0.0934,0,1149,0.87
MCAT Study 5,5/20/2024,1,0,100,0,3,0,1,36,61,1.0722,97,1.64,0:01:10,70,104,2.0436,1,2854,2.56
MCAT Study 6,5/20/2024,0,1,80,1,4,0,2,100,275,1.088,375,1.18,0:00:57,57,408,6.4922,2,6631,4.52
MCAT Study 7,5/20/2024,5,0,100,0,6,0,1,32,153,1.1081,185,1.54,0:00:54,54,205,3.0984,1,4275,3.49
MCAT Study 8,5/21/2024,0,0,0,0,0,0,1,12,36,1.0417,48,1.44,0:01:08,68,50,0.9557,1,1840,2.23
MCAT Study 9,5/21/2024,2,0,100,0,2,0,1,22,76,1.0714,98,4.33,0:01:00,60,105,1.7575,1,2628,3.01
MCAT Study 10,5/21/2024,2,1,100,0,4,0,4,35,165,1.095,200,1.6,0:01:02,62,219,3.8175,4,4588,3.84
MCAT Study 11,5/21/2024,3,0,100,0,5,0,0,52,149,1.1244,201,1.76,0:01:41,101,226,6.3944,0,4119,4.3
MCAT Study 12,5/22/2024,1,0,0,0,0,0,0,26,8,1.0882,34,1.21,0:01:21,81,37,0.8343,0,1374,2.04
MCAT Study 13,5/22/2024,0,0,0,0,0,0,0,21,13,1.1176,34,1.15,0:00:39,39,38,0.4199,0,1467,1.77
MCAT Study 14,5/22/2024,0,0,0,0,0,0,0,14,19,1.0606,33,2.39,0:01:56,116,35,1.1349,0,1575,1.71
MCAT Study 15,5/23/2024,0,0,0,0,0,0,0,7,0,1,7,1.78,0:00:59,59,7,0.1159,0,1302,0.54
MCAT Study 16,5/23/2024,0,0,0,0,0,0,0,21,3,1.0417,24,1.06,0:00:21,21,25,0.1479,0,1312,1.52
MCAT Study 17,5/23/2024,0,0,0,0,0,0,1,21,35,1.0893,56,3.58,0:02:05,125,61,2.1198,1,1861,2.42
MCAT Study 18,5/23/2024,4,0,0,0,0,0,0,25,13,1.2368,38,0.93,0:00:34,34,47,0.4444,0,1470,2.04
MCAT Study 19,5/24/2024,1,0,100,0,2,0,1,25,24,1.1633,49,1.37,0:01:20,80,57,1.2725,1,1677,2.62
MCAT Study 20,5/24/2024,1,0,0,0,0,0,0,15,12,1.1481,27,4.63,0:03:41,221,31,1.9076,0,1704,1.47
MCAT Study 21,5/25/2024,1,2,60,2,3,0,1,72,255,1.0367,327,2.04,0:01:07,67,339,6.3891,1,10944,2.28
MCAT Study 22,5/25/2024,5,3,100,0,7,0,8,154,1260,1.053,1414,1.23,0:00:55,55,1489,22.881,8,38043,2.87
MCAT Study 23,5/25/2024,7,4,94.59,2,35,0,7,261,1551,1.0657,1812,1.11,0:01:01,61,1931,32.7656,7,42680,3.3
MCAT Study 24,5/25/2024,5,10,100,0,21,0,7,174,1320,1.0756,1494,1.57,0:01:31,91,1607,40.7989,7,40463,2.89
MCAT Study 25,5/25/2024,2,0,100,0,15,0,2,138,805,1.0764,943,1.25,0:01:35,95,1015,26.9538,2,25561,2.81
MCAT Study 26,5/26/2024,4,2,100,0,22,0,7,126,486,1.0784,612,1.54,0:01:30,90,660,16.6655,7,19140,2.55
MCAT Study 27,5/26/2024,2,0,88.89,1,8,0,3,114,437,1.0744,551,0.71,0:00:44,44,592,7.3062,3,16944,2.64
MCAT Study 28,5/26/2024,1,0,83.33,1,5,0,2,63,297,1.0444,360,1.54,0:01:01,61,376,6.4152,2,13932,2.14
MCAT Study 29,5/26/2024,5,0,100,0,4,1,7,69,304,1.0697,373,1.71,0:01:06,66,399,7.3598,6,13785,2.18
MCAT Study 30,5/26/2024,2,1,100,0,3,1,1,74,298,1.0484,372,1.42,0:00:54,54,390,5.8761,0,14107,2.18
MCAT Study 31,5/26/2024,1,0,100,0,8,0,1,48,322,1.0595,370,1.87,0:01:02,62,392,6.765,1,14130,1.96
MCAT Study 32,5/27/2024,1,0,100,0,5,0,1,78,254,1.0693,332,1.55,0:01:03,63,355,6.2853,1,13424,1.97
MCAT Study 33,5/27/2024,3,1,100,0,8,1,3,96,252,1.0862,348,1.55,0:01:03,63,378,6.681,2,9922,2.84
MCAT Study 34,5/27/2024,2,0,0,0,0,0,0,71,194,1.0604,265,1.61,0:01:03,63,281,4.9834,0,9046,2.3
MCAT Study 35,5/27/2024,2,0,100,0,8,0,3,107,461,1.0581,568,0.95,0:00:52,52,601,8.7974,3,19537,2.46
MCAT Study 36,5/29/2024,0,0,0,0,0,0,0,15,1,1.0625,16,6.36,0:04:15,255,17,1.2063,0,1356,1.03
MCAT Study 37,5/29/2024,0,0,100,0,1,0,1,10,0,1,10,1.67,0:01:02,62,10,0.1745,1,1335,0.6
MCAT Study 38,5/29/2024,1,0,100,0,2,0,0,19,2,1.1429,21,0.69,0:00:36,36,24,0.2407,0,1390,1.22
MCAT Study 39,5/29/2024,1,0,0,0,0,0,0,27,3,1.1667,30,4.24,0:05:19,319,35,3.1086,0,1452,1.52
MCAT Study 40,5/29/2024,0,0,0,0,0,0,0,22,2,1,24,4,0:01:52,112,24,0.7523,0,1506,1.26
MCAT Study 41,5/29/2024,1,0,100,0,2,0,0,62,6,1.1618,68,3.66,0:01:41,101,79,2.2165,0,1710,3.16
MCAT Study 42,5/30/2024,1,0,100,0,1,0,0,25,1,1.0769,26,6.14,0:06:16,376,28,2.9296,0,1605,0.93
MCAT Study 43,5/30/2024,1,0,0,0,0,0,0,19,2,1,21,0.71,0:00:45,45,21,0.2656,0,1580,0.89
MCAT Study 44,5/30/2024,0,0,100,0,1,0,0,30,3,1.0909,33,3.66,0:01:11,71,36,0.7135,0,1682,1.49
MCAT Study 45,5/30/2024,1,0,100,0,3,0,0,51,4,1.1818,55,2.78,0:01:58,118,65,2.1471,0,1843,2.39
MCAT Study 46,5/31/2024,0,0,100,0,2,0,0,33,4,1.0541,37,1.13,0:00:54,54,39,0.5916,0,1752,1.6
MCAT Study 47,5/31/2024,0,0,100,0,1,0,0,14,0,1.1429,14,0.64,0:00:24,24,16,0.1068,0,1723,0.7
MCAT Study 48,5/31/2024,2,0,100,0,2,0,0,36,2,1.2368,38,0.92,0:01:01,61,47,0.7964,0,1901,1.74
MCAT Study 49,5/31/2024,5,0,100,0,8,0,6,129,30,1.2704,159,1.68,0:01:53,113,202,6.3473,6,3355,4.11
MCAT Study 50,6/1/2024,2,0,100,0,1,0,0,70,2,1.1806,72,2.54,0:01:51,111,85,2.6381,0,2248,2.8
MCAT Study 51,6/1/2024,1,0,100,0,2,0,2,103,10,1.177,113,2.47,0:01:45,105,133,3.9116,2,2574,3.96
MCAT Study 52,6/2/2024,2,1,100,0,14,1,3,122,387,1.1238,509,2.13,0:01:17,77,572,12.3041,2,13490,3.07
MCAT Study 53,6/2/2024,3,0,100,0,7,0,2,115,21,1.2574,136,3.53,0:02:05,125,171,5.9622,2,3971,2.92
MCAT Study 54,6/2/2024,4,2,100,0,10,0,4,158,85,1.1358,243,5.86,0:01:41,101,276,7.7573,4,7309,2.61
MCAT Study 55,6/4/2024,17,0,93.55,2,29,0,10,319,108,1.3794,427,1.77,0:02:46,166,589,27.212,10,9543,4.26
MCAT Study 56,6/4/2024,5,0,100,0,8,0,2,180,63,1.1399,243,2.29,0:02:34,154,277,11.8634,2,5912,3.37
MCAT Study 57,6/4/2024,5,0,100,0,2,0,0,88,14,1.2941,102,2.22,0:01:49,109,132,4.0035,0,2717,2.83
MCAT Study 58,6/4/2024,8,0,100,0,25,0,6,261,228,1.1759,489,2.2,0:02:13,133,575,21.2431,6,11790,3.61
MCAT Study 59,6/5/2024,1,0,100,0,4,0,1,71,3,1.1892,74,1.45,0:00:57,57,88,1.3951,1,2575,2.37
MCAT Study 60,6/5/2024,0,0,100,0,3,0,0,53,3,1.0536,56,5.35,0:03:18,198,59,3.2568,0,2172,1.93
MCAT Study 61,6/5/2024,3,0,100,0,4,1,0,94,26,1.1583,120,1.55,0:01:29,89,139,3.4557,-1,3874,2.61
MCAT Study 62,6/6/2024,0,0,100,0,1,0,0,72,3,1.1333,75,2.52,0:02:37,157,85,3.7127,0,2404,2.45
MCAT Study 63,6/6/2024,3,0,100,0,2,0,0,129,9,1.1522,138,2.75,0:01:34,94,159,4.1957,0,3356,3.52
MCAT Study 64,6/7/2024,9,0,92.31,1,12,1,6,219,57,1.3007,276,1.97,0:01:58,118,359,11.8176,5,5301,4.58
MCAT Study 65,6/8/2024,0,0,100,0,6,0,0,181,61,1.1157,242,2.31,0:01:18,78,270,5.8872,0,4913,4.21
MCAT Study 66,6/8/2024,2,0,100,0,2,0,0,124,36,1.175,160,1.53,0:01:11,71,188,3.7121,0,4074,3.66
MCAT Study 67,6/8/2024,6,0,92.86,1,13,1,3,251,137,1.2294,388,2.87,0:01:39,99,477,13.1963,2,8695,3.76
MCAT Study 68,6/10/2024,3,0,100,0,8,1,2,248,53,1.2226,301,1.2,0:01:51,111,368,11.3509,1,5570,4.88
MCAT Study 69,6/12/2024,5,1,100,0,17,0,2,309,311,1.1726,620,1.37,0:01:48,108,727,22.0009,2,11426,4.37
MCAT Study 70,6/15/2024,2,1,100,0,15,0,12,382,570,1.1387,952,1.37,0:01:26,86,1084,26.0895,12,16222,4.82
MCAT Study 71,6/18/2024,8,0,100,0,7,0,2,308,343,1.1352,651,1.62,0:01:22,82,739,16.9371,2,11248,4.57
MCAT Study 72,6/21/2024,0,0,100,0,6,0,0,71,23,1.0957,94,2.24,0:01:18,78,103,2.2554,0,2270,3.26
MCAT Study 73,6/21/2024,2,1,100,0,7,0,2,139,102,1.0622,241,2.66,0:01:48,108,256,7.6851,2,4853,3.79
MCAT Study 74,6/22/2024,0,0,100,0,3,1,2,56,32,1.0341,88,1.27,0:01:41,101,91,2.5566,1,2157,3.01
MCAT Study 75,6/22/2024,1,0,100,0,2,0,2,132,26,1.2025,158,1.1,0:01:05,65,190,3.4771,2,2412,5.35
MCAT Study 76,6/22/2024,0,0,100,0,1,0,3,76,36,1.1696,112,1.3,0:00:57,57,131,2.0917,3,2625,4
MCAT Study 77,6/22/2024,0,0,100,0,1,0,0,65,3,1.1471,68,0.98,0:00:47,47,78,1.0363,0,1661,3.49
MCAT Study 78,6/23/2024,3,0,100,0,5,0,1,92,27,1.1765,119,2.9,0:01:45,105,140,4.0969,1,3223,3.04
MCAT Study 79,6/24/2024,1,2,100,0,3,0,1,174,49,1.1973,223,1.82,0:01:53,113,267,8.446,1,3226,5.24
MCAT Study 80,7/2/2024,0,0,100,0,2,0,0,82,31,1.1327,113,0.88,0:00:41,41,128,1.4755,0,2678,3.51
MCAT Study 81,7/3/2024,2,0,100,0,6,0,2,118,72,1.1368,190,0.82,0:01:32,92,216,5.5242,2,4007,3.99
MCAT Study 82,7/4/2024,0,0,0,0,0,0,0,40,25,1.1077,65,0.89,0:00:42,42,72,0.8488,0,2259,2.26
MCAT Study 83,7/4/2024,3,0,100,0,2,1,0,62,34,1.375,96,20.86,0:20:56,1256,132,46.0538,-1,3128,2.75
MCAT Study 84,7/4/2024,0,1,100,0,1,0,0,72,2,1.1892,74,3.51,0:02:18,138,88,3.3781,0,1705,3.64
MCAT Study 85,7/6/2024,0,0,100,0,2,0,0,34,20,1.1667,54,0.95,0:01:02,62,63,1.097,0,2457,1.91
MCAT Study 86,7/6/2024,0,0,100,0,3,0,1,42,25,1.1343,67,0.74,0:00:50,50,76,1.0716,1,2450,2.16
MCAT Study 87,7/6/2024,0,0,100,0,3,0,0,79,3,1.1585,82,3.75,0:03:17,197,95,5.2165,0,1644,4.14
MCAT Study 88,7/7/2024,1,0,100,0,2,0,0,66,49,1.1043,115,1.72,0:00:49,49,127,1.7543,0,3092,2.78
MCAT Study 89,7/7/2024,0,0,100,0,2,0,0,113,28,1.2482,141,0.92,0:01:10,70,176,3.4292,0,2811,4.66
MCAT Study 90,7/9/2024,0,0,100,0,1,0,0,37,29,1.1818,66,1.37,0:00:52,52,78,1.1342,0,2829,1.63
MCAT Study 91,7/9/2024,0,0,0,0,0,0,0,44,10,1.1111,54,0.84,0:01:43,103,60,1.727,0,1999,2.1
MCAT Study 92,7/9/2024,0,0,100,0,3,0,0,111,21,1.1667,132,1.54,0:02:07,127,154,5.4559,0,2540,4.45
MCAT Study 93,7/11/2024,2,0,100,0,3,0,2,134,43,1.1921,177,1.69,0:01:28,88,211,5.1867,2,3202,4.75
MCAT Study 94,7/14/2024,0,0,0,0,0,0,0,69,77,1.0548,146,2.35,0:01:47,107,154,4.5789,0,4751,2.34
MCAT Study 95,7/15/2024,0,0,0,0,0,0,0,31,21,1.0577,52,2.18,0:03:41,221,55,3.3884,0,2647,1.44
MCAT Study 96,7/15/2024,1,0,100,0,9,0,2,82,228,1.1,310,1.7,0:01:31,91,341,8.6323,2,8483,2.81
MCAT Study 97,7/15/2024,1,0,0,0,0,0,3,75,126,1.0896,201,1.2,0:00:53,53,219,3.2586,3,6337,2.56
MCAT Study 98,7/16/2024,3,1,83.33,1,5,0,4,104,195,1.1472,299,1.21,0:02:01,121,343,11.6116,4,7336,3.15
MCAT Study 99,7/16/2024,0,0,100,0,3,1,3,90,32,1.1557,122,1.7,0:01:30,90,141,3.5327,2,2807,3.74
MCAT Study 100,7/17/2024,2,0,80,1,4,0,0,87,130,1.1106,217,3.4,0:02:59,179,241,12.0191,0,6630,2.5
MCAT Study 101,7/17/2024,2,1,100,0,1,0,0,83,15,1.1837,98,1.86,0:02:10,130,116,4.2206,0,2882,2.67
MCAT Study 102,7/18/2024,0,0,0,0,0,0,0,35,1,1.1667,36,4.03,0:03:37,217,42,2.5399,0,2017,1.59
MCAT Study 103,7/18/2024,1,0,100,0,5,0,1,69,83,1.125,152,1.55,0:01:58,118,171,5.6453,1,5359,2.44
MCAT Study 104,7/18/2024,1,0,100,0,1,0,0,124,31,1.1484,155,1.94,0:02:19,139,178,6.9044,0,4596,2.89
MCAT Study 105,7/18/2024,3,1,100,0,3,1,4,240,130,1.2027,370,2.15,0:01:43,103,445,12.7672,3,6137,5.1
MCAT Study 106,7/24/2024,10,0,100,0,21,0,9,397,218,1.135,615,3.71,0:02:36,156,698,30.4252,9,11873,4.24
MCAT Study 107,7/25/2024,1,0,100,0,4,0,1,122,125,1.0769,247,0.35,0:00:51,51,266,3.8384,1,6048,3.11
MCAT Study 108,7/25/2024,2,0,100,0,4,0,0,122,130,1.1468,252,1.25,0:01:42,102,289,8.2644,0,6820,3.12
MCAT Study 109,7/26/2024,0,0,100,0,4,0,0,105,70,1.1486,175,2.76,0:02:04,124,201,6.9336,0,5770,2.53
MCAT Study 110,7/27/2024,2,1,80,1,4,0,0,128,181,1.1877,309,0.6,0:02:18,138,367,14.1097,0,8143,3.22
MCAT Study 111,7/29/2024,0,1,0,0,0,0,1,54,17,1.1268,71,0.66,0:00:52,52,80,1.1676,1,2951,1.8
MCAT Study 112,7/29/2024,1,1,100,0,5,0,1,87,133,1.0591,220,2.31,0:01:10,70,233,4.5379,1,6635,2.61
MCAT Study 113,7/29/2024,2,0,100,0,7,0,2,168,161,1.1125,329,0.49,0:01:07,67,366,6.9022,2,7876,3.39
MCAT Study 114,7/30/2024,2,3,100,0,6,0,2,178,368,1.0788,546,1.02,0:01:14,74,589,12.2681,2,12564,3.45
MCAT Study 115,7/31/2024,7,0,100,0,5,0,5,182,278,1.1065,460,0.9,0:01:14,74,509,10.5122,5,11789,3.1
MCAT Study 116,8/2/2024,0,0,100,0,1,0,0,66,61,1.189,127,0.59,0:01:16,76,151,3.204,0,4297,2.42
MCAT Study 117,8/2/2024,1,1,100,0,2,0,0,115,33,1.1554,148,2.49,0:00:44,44,171,2.1235,0,3310,3.44
MCAT Study 118,8/2/2024,3,0,100,0,4,0,1,86,1,1.2184,87,2.18,0:01:18,78,106,2.3127,1,2387,3.14
MCAT Study 119,8/2/2024,1,0,0,0,0,0,0,82,9,1.1648,91,1.43,0:01:24,84,106,2.48,0,2145,3.22
MCAT Study 120,8/4/2024,0,0,66.67,1,2,0,1,121,88,1.1148,209,0.48,0:01:10,70,233,4.5914,1,5149,3.42
MCAT Study 121,8/4/2024,4,0,100,0,10,1,6,217,230,1.1163,447,0.95,0:01:04,64,499,8.9194,5,9820,3.9
MCAT Study 122,8/5/2024,3,1,100,0,9,0,6,226,802,1.0545,1028,0.72,0:00:42,42,1084,12.9167,6,30124,2.6
MCAT Study 123,8/5/2024,4,0,85.71,3,18,0,8,323,1294,1.0785,1617,0.51,0:00:47,47,1744,23.1683,8,47409,2.57
MCAT Study 124,8/5/2024,0,0,100,0,1,0,0,44,2,1.087,46,1.08,0:01:09,69,50,0.9614,0,2247,1.38
MCAT Study 125,8/5/2024,1,0,100,0,5,0,3,220,216,1.1284,436,1.87,0:02:35,155,492,21.1949,3,8012,4.56
MCAT Study 126,8/6/2024,4,3,97.62,1,41,1,12,407,1616,1.085,2023,0.44,0:01:05,65,2195,39.8467,11,55360,2.88
MCAT Study 127,8/7/2024,2,1,91.89,3,34,0,20,380,1666,1.0894,2046,0.73,0:01:27,87,2229,54.2973,20,48680,3.23
MCAT Study 128,8/7/2024,3,1,96.15,1,25,1,15,394,1485,1.0655,1879,0.87,0:01:00,60,2002,33.7546,14,49268,3.18
MCAT Study 129,8/8/2024,0,0,100,0,1,0,0,52,0,1.0962,52,1.66,0:02:45,165,57,2.6263,0,2875,1.39
MCAT Study 130,8/8/2024,2,1,100,0,4,0,2,218,180,1.1181,398,0.68,0:01:16,76,445,9.4919,2,6666,4.56
MCAT Study 131,8/10/2024,0,0,100,0,1,0,0,45,1,1.3478,46,5.8,0:08:57,537,62,9.2522,0,1790,2.01
MCAT Study 132,8/10/2024,0,0,0,0,0,0,0,42,2,1.1591,44,1.05,0:01:04,64,51,0.9081,0,1883,2.07
MCAT Study 133,8/10/2024,0,0,0,0,0,0,0,42,0,1.119,42,0.59,0:00:32,32,47,0.4283,0,1918,1.88
MCAT Study 134,8/10/2024,0,0,100,0,1,0,0,28,1,1.1379,29,4.42,0:04:29,269,33,2.466,0,1916,1.15
MCAT Study 135,8/10/2024,0,0,0,0,0,0,0,51,0,1.1373,51,0.58,0:00:24,24,58,0.3928,0,2056,1.8
MCAT Study 136,8/10/2024,0,0,0,0,0,0,1,31,1,1.0938,32,2.17,0:02:02,122,35,1.194,1,2265,0.97
MCAT Study 137,8/10/2024,1,0,0,0,0,0,0,52,3,1.2909,55,0.57,0:01:32,92,71,1.8191,0,2578,2.06
MCAT Study 138,8/10/2024,3,0,50,1,1,0,0,127,27,1.1883,154,0.74,0:01:30,90,183,4.5879,0,3345,3.86
