Content,Date Published,Comments added,Shares,LvsD (%),Dislikes,Likes,Subs -,Subs +,Returning viewers,New viewers,Avg views/viewer,Unique viewers,APV (%),AVD (HMMSS),AVD (s),Views,WT (hrs),Subscribers,IMP,CTR (%)
MCAT Study 1,5/18/2024,0,0,0,0,0,0,1,22,3,1.16,25,10.27,0:07:07,427,29,3.4423,1,158,13.29
MCAT Study 2,5/19/2024,0,0,100,0,2,0,0,11,72,1.0723,83,1.52,0:01:00,60,89,1.4997,0,1358,5.01
MCAT Study 3,5/19/2024,0,0,100,0,1,0,2,14,101,1.0696,115,1.52,0:00:54,54,123,1.8528,2,3070,2.87
MCAT Study 4,5/19/2024,0,0,0,0,0,0,0,2,0,1,2,0.96,0:00:38,38,2,0.0213,0,265,0.75
MCAT Study 5,5/20/2024,1,0,100,0,3,0,1,26,61,1.069,87,1.75,0:01:15,75,93,1.957,1,1921,3.49
MCAT Study 6,5/20/2024,0,1,75,1,3,0,2,58,267,1.08,325,1.14,0:00:55,55,351,5.4069,2,5489,4.66
MCAT Study 7,5/20/2024,5,0,100,0,6,0,1,23,150,1.1156,173,1.57,0:00:55,55,193,2.9842,1,3226,4.4
MCAT Study 8,5/21/2024,0,0,0,0,0,0,1,7,36,1.0465,43,1.51,0:01:12,72,45,0.9061,1,955,4.08
MCAT Study 9,5/21/2024,2,0,100,0,2,0,1,15,75,1.0778,90,4.27,0:00:59,59,97,1.6015,1,1667,4.38
MCAT Study 10,5/21/2024,2,1,100,0,4,0,4,29,164,1.0829,193,1.58,0:01:01,61,209,3.5953,4,3561,4.72
MCAT Study 11,5/21/2024,3,0,100,0,4,0,0,47,149,1.1122,196,1.78,0:01:42,102,218,6.2311,0,3063,5.62
MCAT Study 12,5/22/2024,1,0,0,0,0,0,0,12,7,1,19,1.59,0:01:46,106,19,0.5637,0,469,3.62
MCAT Study 13,5/22/2024,0,0,0,0,0,0,0,14,10,1.0833,24,1.32,0:00:45,45,26,0.3297,0,561,3.21
MCAT Study 14,5/22/2024,0,0,0,0,0,0,0,9,19,1.0357,28,2.79,0:02:16,136,29,1.0986,0,671,3.43
